team_clean,season_start,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Atlanta Hawks,2020,45,30,113.91,108.27,47,23,110.74,113.04
Boston Celtics,2020,40,23,114.12,111.8,40,15,110.27,111.75
Brooklyn Nets,2020,44,35,117.77,110.2,42,22,117.55,115.26
Charlotte Hornets,2020,38,18,108.18,108.66,39,16,111.18,115.21
Chicago Bulls,2020,38,16,109.16,110.97,38,18,112.05,111.53
Cleveland Cavaliers,2020,38,15,107.68,113.84,38,9,99.55,110.18
Dallas Mavericks,2020,40,21,110.27,111.13,42,26,114.14,109.74
Denver Nuggets,2020,43,29,118.0,111.3,42,24,112.33,110.57
Detroit Pistons,2020,38,14,104.37,107.21,38,8,107.53,112.89
Golden State Warriors,2020,38,26,116.03,111.16,39,15,110.85,113.62
Houston Rockets,2020,38,11,107.32,114.37,38,9,110.82,117.58
Indiana Pacers,2020,38,14,113.5,115.55,39,21,117.05,115.62
Los Angeles Clippers,2020,47,31,114.87,108.49,47,26,111.11,107.47
Los Angeles Lakers,2020,44,26,110.59,106.93,44,26,106.75,105.48
Memphis Grizzlies,2020,41,20,110.46,110.78,42,24,116.52,114.24
Miami Heat,2020,42,22,107.36,108.76,41,21,107.37,108.49
Milwaukee Bucks,2020,45,32,118.62,110.91,45,24,116.98,114.33
Minnesota Timberwolves,2020,38,13,109.87,116.32,37,11,114.49,119.19
New Orleans Pelicans,2020,37,19,115.46,113.7,37,14,114.05,115.41
New York Knicks,2020,41,28,108.49,103.98,40,17,103.57,103.9
Oklahoma City Thunder,2020,38,10,105.76,117.79,37,13,104.54,113.16
Orlando Magic,2020,38,12,106.05,114.71,38,11,103.05,112.29
Philadelphia 76ers,2020,44,34,117.14,108.48,42,24,110.57,107.57
Phoenix Suns,2020,46,33,115.26,106.91,46,30,112.11,109.76
Portland Trail Blazers,2020,41,22,115.34,113.9,41,23,116.39,116.2
